"date","url","x1","x2","label","tags","지점","평균기온..C.","최저기온..C.","최고기온..C."
"2018-01-01","//image.musinsa.com/mfile_s01/_street_images/39900/280.street_img_view25a5c877212c54.jpg?",0.024738378,-0.027769215,0,"['미디스커트', '하의', '체크']",108,-1.3,-5.1,3.8
"2018-01-01","//image.musinsa.com/mfile_s01/_street_images/48103/280.street_img_view15bcd6c59646e9.jpg?20181022160458",-0.035322569,-0.025616003,1,"['무스탕', '브라운', '아우터', '갈색', '심플', '캐주얼']",108,-1.3,-5.1,3.8
"2018-01-02","//image.musinsa.com/mfile_s01/_street_images/39970/280.street_img_view15a54c2acc4e66.jpg?",-0.016848735,0.053025591,3,"['셔츠', '화이트', '상의', '흰색']",108,-1.8,-4.3,1.8
"2018-01-02","//image.musinsa.com/mfile_s01/_street_images/40439/280.street_img_view25a69943353daf.jpg?",0.014123922,0.0171561,3,"['후디', '블랙', '상의', '검정색', '스트리트', '힙합']",108,-1.8,-4.3,1.8
"2018-01-02","//image.musinsa.com/mfile_s01/_street_images/49197/280.street_img_view15c2333a91e0b4.jpg?20181226171454",-0.031915564,-0.016976713,1,"['더블코트', '아우터', '검정색', '심플', '캐주얼']",108,-1.8,-4.3,1.8
"2018-01-02","//image.musinsa.com/mfile_s01/_street_images/45886/280.street_img_view15b64381da86ca.jpg?",0.011028082,0.022088289,3,"['슬리브리스', '그린', '상의', '녹색', '스트리트', '힙합']",108,-1.8,-4.3,1.8
"2018-01-02","//image.musinsa.com/mfile_s01/_street_images/39974/280.street_img_view15a4c567e33825.jpg?20180103165704",-0.025728513,-0.016093122,1,"['무톤', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,-1.8,-4.3,1.8
"2018-01-02","//image.musinsa.com/mfile_s01/_street_images/39978/280.street_img_view15a4c46af7593c.jpg?",0.000910943,-0.009394779,4,"['코트', '아이보리', '아우터', '베이지색', '스트리트', '힙합']",108,-1.8,-4.3,1.8
"2018-01-03","//image.musinsa.com/mfile_s01/_street_images/49276/280.street_img_view15c2067a07e341.jpg?",-0.000728764,-0.012498725,4,"['점퍼', '브라운', '아우터', '갈색', '스트리트', '힙합']",108,-4.7,-7.1,-0.4
"2018-01-03","//image.musinsa.com/mfile_s01/_street_images/45393/280.street_img_view15b441fc292a09.jpg?20180709141156",-0.008785488,-0.026394325,4,"['스커트', '베이지', '하의', '베이지색', '심플', '캐주얼']",108,-4.7,-7.1,-0.4
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/49203/280.street_img_view15c2332d4854d5.jpg?20181226174109",-0.017540455,-0.014114387,1,"['롱코트', '아우터', '검정색']",108,-4.7,-8.7,-0.7
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/40476/280.street_img_view15a69aa69668db.jpg?",0.012693205,-0.004678051,4,"['패딩', '네이비', '아우터', '파랑색', '스트리트', '힙합']",108,-4.7,-8.7,-0.7
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/40064/280.street_img_view25a587946cf62c.jpg?20180117093309",0.047222099,-0.006713204,0,"['트랙팬츠', '하의', '파랑색', '스트리트', '힙합']",108,-4.7,-8.7,-0.7
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/40064/280.street_img_view15a58793b55843.jpg?20180117093309",0.010504999,-0.001336149,4,"['베스트', '다운', '아우터', '검정색', '스트리트', '힙합']",108,-4.7,-8.7,-0.7
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/46106/280.street_img_view15b6bf4fbdebe7.jpg?",0.002069689,0.010617666,3,"['오프숄더', '상의', '체크', '유니크', '키치']",108,-4.7,-8.7,-0.7
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/45459/280.street_img_view15b46a8b7bca45.jpg?",0.023109693,-0.035248309,4,"['데님', '쇼츠', '하의', '데님', '심플', '캐주얼']",108,-4.7,-8.7,-0.7
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/40023/280.street_img_view15a5700c3451f2.jpg?",-0.013734153,-0.019210705,1,"['항공점퍼', '블루', '아우터', '파랑색', '심플', '캐주얼']",108,-4.7,-8.7,-0.7
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/40048/280.street_img_view15a4f3838af787.jpg?20180108142200",-0.024612275,-0.016672822,1,"['무톤', '세인트페인', '아우터', '회색', '심플', '캐주얼']",108,-4.7,-8.7,-0.7
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/47295/280.street_img_view15bb7341314804.jpg?20181005190852",-0.026593497,-0.012093309,1,"['핸드메이드', '에잇세컨즈', '아우터', '주황색', '심플', '캐주얼']",108,-4.7,-8.7,-0.7
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/49213/280.street_img_view25c1af11c0c02b.jpg?",0.010726912,-0.031179173,4,"['데님스커트', '하의', '데님', '심플', '캐주얼']",108,-4.7,-8.7,-0.7
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/40972/280.street_img_view25a83a146e0ddc.jpg?",0.030372415,-0.008755928,0,"['팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']",108,-4.7,-8.7,-0.7
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/44878/280.street_img_view15b1a4b4249749.jpg?20180608184609",0.002941069,0.03508313,3,"['티셔츠', '오버 사이즈해프닝', '상의', '보라색']",108,-4.7,-8.7,-0.7
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/40058/280.street_img_view15a587a1db4fea.jpg?",-0.017689785,-0.016616065,1,"['코트', '블랙', '아우터', '검정색']",108,-4.7,-8.7,-0.7
"2018-01-04","//image.musinsa.com/mfile_s01/_street_images/40022/280.street_img_view15a570181970c7.jpg?",-0.011211166,-0.018339253,1,"['코트', '네이비', '아우터', '파랑색']",108,-4.7,-8.7,-0.7
"2018-01-05","//image.musinsa.com/mfile_s01/_street_images/46858/280.street_img_view15b9b67dbbe5a4.jpg?20180914172526",-0.020599164,0.008295081,2,"['니트', '어널로이드', '상의', '주황색', '심플', '캐주얼']",108,-3,-5.6,1.6
"2018-01-05","//image.musinsa.com/mfile_s01/_street_images/40267/280.street_img_view25a60726c4dfad.jpg?",-0.024420567,-0.014767751,1,"['가죽자켓', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,-3,-5.6,1.6
"2018-01-06","//image.musinsa.com/mfile_s01/_street_images/39815/280.street_img_view25a434162a398f.jpg?20180111191150",0.031916068,-0.003404675,0,"['스커트', '레드', '하의', '빨간색', '유니크', '키치']",108,-2.8,-6.8,2.9
"2018-01-07","//image.musinsa.com/mfile_s01/_street_images/48312/280.street_img_view15bea8789358ad.jpg?20181101105825",-0.03125696,-0.026038398,1,"['재킷', '체크', '아우터', '체크', '심플', '캐주얼']",108,-0.8,-5.7,2.8
"2018-01-07","//image.musinsa.com/mfile_s01/_street_images/46659/280.street_img_view15b91d8e2ca500.jpg?20180907112325",0.014566299,0.034264982,3,"['맨투맨', '상의', '흰색', '스트리트', '힙합']",108,-0.8,-5.7,2.8
"2018-01-08","//image.musinsa.com/mfile_s01/_street_images/44727/280.street_img_view15b2aff8f2cda4.jpg?",-0.00467135,0.0314657,3,"['원피스', '상의', '분홍색']",108,1.3,-1.2,4
"2018-01-08","//image.musinsa.com/mfile_s01/_street_images/44647/280.street_img_view15b0ce3595cbc7.jpg?",-0.000377768,0.032904086,3,"['티셔츠', '시스루', '상의', '흰색', '유니크', '키치']",108,1.3,-1.2,4
"2018-01-08","//image.musinsa.com/mfile_s01/_street_images/44652/280.street_img_view25b0ce27cd5698.jpg?",0.029080525,-0.007216547,0,"['슬랙스', '블랙', '하의', '검정색', '스트리트', '힙합']",108,1.3,-1.2,4
"2018-01-08","//image.musinsa.com/mfile_s01/_street_images/44690/280.street_img_view25b2881770bbe4.jpg?20180619180259",-0.006819819,-0.021679307,4,"['슬랙스', '하의', '검정색', '심플', '캐주얼']",108,1.3,-1.2,4
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/40448/280.street_img_view25a699d808a91d.jpg?",0.051824171,-0.016134273,0,"['데님스커트', '하의', '데님', '스트리트', '힙합']",108,-4.2,-6.1,-1.2
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/47300/280.street_img_view15bb72f5fee1b6.jpg?20181005190214",-0.031523825,-0.020692982,1,"['핸드메이드', '에잇세컨즈', '아우터', '갈색', '심플', '캐주얼']",108,-4.2,-6.1,-1.2
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/40202/280.street_img_view15a54b9c41ceca.jpg?",-0.000976005,-0.012968761,4,"['재킷', '그레이', '아우터', '회색', '섹시', '페미닌']",108,-4.2,-6.1,-1.2
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/40168/280.street_img_view15a5f0c0924e2b.jpg?",0.008831595,-0.002396986,4,"['항공점퍼', '블랙', '아우터', '검정색', '스트리트', '힙합']",108,-4.2,-6.1,-1.2
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/40957/280.street_img_view15a8267527a21c.jpg?",-0.02443902,-0.014934879,1,"['항공자켓', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,-4.2,-6.1,-1.2
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/45717/280.street_img_view25b58486119026.jpg?20180726111433",0.03023407,-0.009734307,0,"['미디스커트', '하의', '도트', '섹시', '페미닌']",108,-4.2,-6.1,-1.2
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/44349/280.street_img_view15b024f42ee3d1.jpg?",0.013019291,0.017311789,3,"['크롭티', '그레이', '상의', '회색', '스트리트', '힙합']",108,-4.2,-6.1,-1.2
"2018-01-09","//image.musinsa.com/mfile_s01/_street_images/40162/280.street_img_view15a5ee7d8a6149.jpg?",-0.004115385,-0.010812382,4,"['롱', '이지비지', '베이지', '롱코트']",108,-4.2,-6.1,-1.2
"2018-01-10","//image.musinsa.com/mfile_s01/_street_images/40228/280.street_img_view15a6061d728ab8.jpg?20180124090446",0.008132298,-0.007093233,4,"['패딩', '숏', '아우터', '체크', '스트리트', '힙합']",108,-7.5,-10.3,-4.8
"2018-01-10","//image.musinsa.com/mfile_s01/_street_images/46017/280.street_img_view25b6bfc8b414df.jpg?",0.012472077,0.042573662,3,"['티셔츠', '상의', '흰색', '스트리트', '힙합']",108,-7.5,-10.3,-4.8
