date,image,tags,temperature,cluster
2018-01-02,//image.musinsa.com/mfile_s01/_street_images/39978/280.street_img_view25a4c46bf9d514.jpg?,"['트랙팬츠', '레드', '하의', '빨간색', '스트리트', '힙합']",-1.8,3
2018-01-02,//image.musinsa.com/mfile_s01/_street_images/39974/280.street_img_view25a4c56b08259c.jpg?20180103165704,"['스커트', '체크', '하의', '체크', '심플', '캐주얼']",-1.8,3
2018-01-02,//image.musinsa.com/mfile_s01/_street_images/39970/280.street_img_view25a54c2b662c23.jpg?,"['스커트', '체크', '하의', '체크', '걸리시']",-1.8,3
2018-01-04,//image.musinsa.com/mfile_s01/_street_images/40022/280.street_img_view25a5701919b02f.jpg?,"['스커트', '블랙', '하의', '검정색', '걸리시']",-4.7,3
2018-01-04,//image.musinsa.com/mfile_s01/_street_images/40058/280.street_img_view25a587a2968dfd.jpg?,"['스커트', '레드', '하의', '빨간색', '걸리시']",-4.7,3
2018-01-04,//image.musinsa.com/mfile_s01/_street_images/40023/280.street_img_view25a5700d2cf876.jpg?,"['스커트', '체크', '하의', '체크', '심플', '캐주얼']",-4.7,3
2018-01-04,//image.musinsa.com/mfile_s01/_street_images/40064/280.street_img_view25a587946cf62c.jpg?20180117093309,"['트랙팬츠', '하의', '파랑색', '스트리트', '힙합']",-4.7,3
2018-01-09,//image.musinsa.com/mfile_s01/_street_images/40162/280.street_img_view25a5ee7e835997.jpg?,"['팬츠', '베이지', '하의', '베이지색', '심플', '캐주얼']",-4.2,3
2018-01-16,//image.musinsa.com/mfile_s01/_street_images/40401/280.street_img_view25a681eaeccb24.jpg?,"['오버롤팬츠', '하의', '녹색', '심플', '캐주얼']",3.5,9
2018-01-17,//image.musinsa.com/mfile_s01/_street_images/40386/280.street_img_view25a68212e094dd.jpg?,"['팬츠', '카모', '하의', '카모', '스트리트', '힙합']",4.5,0
2018-01-18,//image.musinsa.com/mfile_s01/_street_images/40457/280.street_img_view15a69a28dafcab.jpg?,"['트랙팬츠', '화이트', '하의', '흰색', '스트리트', '힙합']",2.1,9
2018-01-18,//image.musinsa.com/mfile_s01/_street_images/40445/280.street_img_view25a699f4e69952.jpg?,"['스커트', '체크', '하의', '체크', '걸리시']",2.1,9
2018-01-18,//image.musinsa.com/mfile_s01/_street_images/40448/280.street_img_view25a699d808a91d.jpg?,"['데님스커트', '하의', '데님', '스트리트', '힙합']",2.1,9
2018-01-21,//image.musinsa.com/mfile_s01/_street_images/40519/280.street_img_view25a6ad9568463f.jpg?20180126175801,"['와이드팬츠', '하의', '회색', '심플', '캐주얼']",0.4,9
2018-01-21,//image.musinsa.com/mfile_s01/_street_images/40512/280.street_img_view25a6adb6844a37.jpg?20180126172923,"['조거팬츠', '하의', '검정색', '스트리트', '힙합']",0.4,9
2018-01-22,//image.musinsa.com/mfile_s01/_street_images/40533/280.street_img_view25a6acef82ed4a.jpg?,"['미디스커트', '하의', '체크', '걸리시']",0.2,9
2018-01-22,//image.musinsa.com/mfile_s01/_street_images/40530/280.street_img_view25a6ad675737ef.jpg?,"['데님', '팬츠', '크롭팬츠', '하의', '데님', '심플', '캐주얼']",0.2,9
2018-02-05,//image.musinsa.com/mfile_s01/_street_images/40875/280.street_img_view15a78498485fdf.jpg?20180205213518,"['팬츠', '로맨틱크라운', '하의', '빨간색', '스트리트', '힙합']",-9.4,5
2018-02-05,//image.musinsa.com/mfile_s01/_street_images/40871/280.street_img_view15a784c6f671d7.jpg?20180206092351,"['트랙팬츠', '크럼프', '하의', '회색', '스트리트', '힙합']",-9.4,5
2018-02-05,//image.musinsa.com/mfile_s01/_street_images/40876/280.street_img_view15a7849106f12c.jpg?20180205213457,"['스커트', '본챔스', '하의', '데님', '스트리트', '힙합']",-9.4,5
2018-02-07,//image.musinsa.com/mfile_s01/_street_images/40921/280.street_img_view25a8161dd1d7e2.jpg?,"['코듀로이', '팬츠', '하의', '흰색', '심플', '캐주얼']",-8.0,5
2018-02-07,//image.musinsa.com/mfile_s01/_street_images/40926/280.street_img_view25a8269d7957fe.jpg?,"['트랙팬츠', '퍼플', '하의', '보라색', '스트리트', '힙합']",-8.0,5
2018-02-08,//image.musinsa.com/mfile_s01/_street_images/40975/280.street_img_view25a83a5ea98e26.jpg?,"['팬츠', '브라운', '하의', '갈색', '심플', '캐주얼']",-4.4,3
2018-02-08,//image.musinsa.com/mfile_s01/_street_images/40959/280.street_img_view15a826b124218c.jpg?,"['슬랙스', '와인', '하의', '분홍색', '스프라이트', '포멀', '클래식']",-4.4,3
2018-02-08,//image.musinsa.com/mfile_s01/_street_images/40972/280.street_img_view25a83a146e0ddc.jpg?,"['팬츠', '블랙', '하의', '검정색', '스트리트', '힙합']",-4.4,3
2018-02-09,//image.musinsa.com/mfile_s01/_street_images/40981/280.street_img_view25a83b74e16b38.jpg?20180209020006,"['스커트', '브라운', '하의', '갈색', '스트리트', '힙합']",0.4,9
2018-02-22,//image.musinsa.com/mfile_s01/_street_images/41322/280.street_img_view25a968f810b3b7.jpg?,"['팬츠', '체크', '하의', '체크', '포멀', '클래식']",1.3,9
